Date,Time,RMS(mV),Activation(%),MDF(Hz),Fatigue(%),Quality
2026-07-11,'16:32:48.147',1447.135,0.0,45.5,0.0,3
2026-07-11,'16:32:50.994',1485.485,0.0,46.3,0.0,3
2026-07-11,'16:32:51.015',1486.772,0.0,46.8,0.0,3
2026-07-11,'16:32:51.115',1481.238,0.0,49.0,0.0,3
2026-07-11,'16:32:51.215',1262.019,0.0,49.2,0.0,3
2026-07-11,'16:32:51.817',1115.667,0.0,49.4,0.0,3
2026-07-11,'16:32:51.838',1112.673,0.0,49.5,0.0,3
2026-07-11,'16:32:51.938',1115.068,0.0,50.1,0.0,3
2026-07-11,'16:32:52.038',1174.767,0.0,49.9,0.0,3
2026-07-11,'16:32:52.138',1217.762,0.0,49.7,0.0,3
2026-07-11,'16:32:52.238',1092.744,0.0,49.7,0.0,3
2026-07-11,'16:32:52.337',994.873,0.0,49.7,0.0,3
2026-07-11,'16:32:52.437',900.469,0.0,49.7,0.0,3
2026-07-11,'16:32:52.538',802.369,0.0,49.8,0.0,3
2026-07-11,'16:32:52.638',743.061,0.0,63.6,0.0,3
2026-07-11,'16:33:10.509',1247.708,0.0,45.2,0.0,3
2026-07-11,'16:33:10.609',1189.801,0.0,45.7,0.0,3
2026-07-11,'16:33:10.710',954.081,0.0,46.6,0.0,3
2026-07-11,'16:33:10.810',649.327,0.0,47.5,0.0,3
2026-07-11,'16:33:10.910',533.409,0.0,48.5,0.0,3
2026-07-11,'16:33:11.009',563.952,0.0,48.8,0.0,3
2026-07-11,'16:33:11.109',518.308,0.0,48.8,0.0,3
2026-07-11,'16:33:11.209',439.424,0.0,48.6,0.0,3
2026-07-11,'16:33:11.310',262.560,0.0,66.5,0.0,3
2026-07-11,'16:33:11.410',289.139,0.0,78.2,0.0,3
2026-07-11,'16:33:12.040',425.634,0.0,68.2,0.0,3
2026-07-11,'16:33:12.062',445.822,0.0,61.6,0.0,3
2026-07-11,'16:33:12.160',994.096,0.0,58.1,0.0,3
2026-07-11,'16:33:12.260',1167.909,0.0,54.8,0.0,3
2026-07-11,'16:33:12.361',1196.928,0.0,52.5,0.0,3
2026-07-11,'16:33:12.461',883.760,0.0,51.2,0.0,3
2026-07-11,'16:33:12.561',604.062,0.0,51.1,0.0,3
2026-07-11,'16:33:13.273',498.767,0.0,50.8,0.0,3
2026-07-11,'16:33:13.294',521.558,0.0,50.7,0.0,3
2026-07-11,'16:33:13.393',993.614,0.0,50.9,0.0,3
2026-07-11,'16:33:14.197',1128.659,0.0,50.3,0.0,3
2026-07-11,'16:33:14.218',1138.414,0.0,49.9,0.0,3
2026-07-11,'16:33:14.318',1340.565,0.0,50.0,0.0,3
2026-07-11,'16:33:14.417',1199.855,0.0,49.8,0.0,3
2026-07-11,'16:33:14.518',1026.376,0.0,49.4,0.0,3
2026-07-11,'16:33:14.618',735.139,0.0,49.3,0.0,3
2026-07-11,'16:33:14.718',623.066,0.0,49.3,0.0,3
2026-07-11,'16:33:14.817',653.356,0.0,49.3,0.0,3
2026-07-11,'16:33:14.917',634.638,0.0,49.2,0.0,3
2026-07-11,'16:33:15.017',565.491,0.0,49.1,0.0,3
2026-07-11,'16:33:16.227',438.478,0.0,49.2,0.0,3
2026-07-11,'16:33:16.249',483.035,0.0,49.3,0.0,3
2026-07-11,'16:33:16.348',1061.405,0.0,49.9,0.0,3
2026-07-11,'16:33:16.447',1184.267,0.0,49.5,0.0,3
2026-07-11,'16:33:16.547',1255.015,0.0,49.3,0.0,3
2026-07-11,'16:33:16.647',909.780,0.0,48.8,0.0,3
2026-07-11,'16:33:16.748',670.739,0.0,48.6,0.0,3
2026-07-11,'16:33:16.848',519.505,0.0,48.8,0.0,3
2026-07-11,'16:33:16.947',458.411,0.0,49.6,0.0,3
2026-07-11,'16:33:17.047',397.033,0.0,49.6,0.0,3
2026-07-11,'16:33:17.665',1055.561,0.0,49.9,0.0,3
2026-07-11,'16:33:17.685',1058.644,0.0,50.1,0.0,3
2026-07-11,'16:33:17.786',1126.557,0.0,49.4,0.0,3
2026-07-11,'16:33:17.886',1195.859,0.0,48.8,0.0,3
2026-07-11,'16:33:17.986',914.678,0.0,48.9,0.0,3
2026-07-11,'16:33:18.085',765.682,0.0,49.0,0.0,3
2026-07-11,'16:33:18.185',635.410,0.0,48.9,0.0,3
2026-07-11,'16:33:18.285',516.824,0.0,49.0,0.0,3
2026-07-11,'16:33:18.386',346.738,0.0,63.5,0.0,3
2026-07-11,'16:33:18.486',363.856,0.0,75.9,0.0,3
2026-07-11,'16:33:19.601',486.484,0.0,66.9,0.0,3
2026-07-11,'16:33:19.623',485.974,0.0,60.9,0.0,3
2026-07-11,'16:33:19.721',494.912,0.0,56.8,0.0,3
2026-07-11,'16:33:19.821',499.942,0.0,56.0,0.0,3
2026-07-11,'16:33:19.921',398.588,0.0,54.0,0.0,3
2026-07-11,'16:33:20.022',360.551,0.0,67.6,0.0,3
2026-07-11,'16:33:20.122',352.908,0.0,79.6,0.0,3
2026-07-11,'16:33:20.221',448.320,0.0,70.0,0.0,3
2026-07-11,'16:33:20.321',448.697,0.0,62.8,0.0,3
2026-07-11,'16:33:20.421',445.644,0.0,74.6,0.0,3
2026-07-11,'16:33:21.148',1085.149,0.0,65.8,0.0,3
2026-07-11,'16:33:21.170',1086.240,0.0,60.0,0.0,3
2026-07-11,'16:33:21.270',1282.336,0.0,56.3,0.0,3
2026-07-11,'16:33:21.368',1320.138,0.0,54.8,0.0,3
2026-07-11,'16:33:21.469',988.971,0.0,53.2,0.0,3
2026-07-11,'16:33:21.568',604.354,0.0,51.7,0.0,3
2026-07-11,'16:33:21.669',448.055,0.0,65.6,0.0,3
2026-07-11,'16:33:21.769',416.844,0.0,77.8,0.0,3
2026-07-11,'16:33:21.868',496.965,0.0,69.1,0.0,3
2026-07-11,'16:33:21.968',492.790,0.0,62.4,0.0,3
2026-07-11,'16:33:23.077',885.971,0.0,58.4,0.0,3
2026-07-11,'16:33:23.098',889.801,0.0,55.7,0.0,3
2026-07-11,'16:33:23.197',899.129,0.0,53.2,0.0,3
2026-07-11,'16:33:23.298',900.484,0.0,51.5,0.0,3
2026-07-11,'16:33:23.398',568.799,0.0,50.4,0.0,3
2026-07-11,'16:33:23.497',319.564,0.0,49.8,0.0,3
2026-07-11,'16:33:23.597',191.065,0.0,49.4,0.0,3
2026-07-11,'16:33:23.697',123.968,0.0,48.6,0.0,3
2026-07-11,'16:33:23.798',81.308,0.0,48.0,0.0,3
2026-07-11,'16:33:23.898',60.796,0.0,48.2,0.0,3
2026-07-11,'16:33:24.513',188.045,0.0,48.9,0.0,3
2026-07-11,'16:33:24.534',189.490,0.0,49.4,0.0,3
2026-07-11,'16:33:24.634',207.019,0.0,48.9,0.0,3
2026-07-11,'16:33:24.733',214.253,0.0,47.8,0.0,3
2026-07-11,'16:33:24.834',143.695,0.0,47.9,0.0,3
2026-07-11,'16:33:24.934',94.293,0.0,48.1,0.0,3
2026-07-11,'16:33:25.033',89.350,0.0,48.3,0.0,3
2026-07-11,'16:33:25.134',80.714,0.0,48.3,0.0,3
2026-07-11,'16:33:25.233',69.974,0.0,47.9,0.0,3
2026-07-11,'16:33:25.334',39.464,0.0,48.3,0.0,3
2026-07-11,'16:33:26.449',48.808,0.0,48.4,0.0,3
2026-07-11,'16:33:26.471',48.843,0.0,48.6,0.0,3
2026-07-11,'16:33:26.569',49.624,0.0,48.4,0.0,3
2026-07-11,'16:33:26.669',62.181,0.0,47.7,0.0,3
2026-07-11,'16:33:26.769',52.860,0.0,47.7,0.0,3
2026-07-11,'16:33:26.870',47.661,0.0,47.9,0.0,3
2026-07-11,'16:33:26.970',46.123,0.0,48.5,0.0,3
2026-07-11,'16:33:27.069',69.187,0.0,48.6,0.0,3
2026-07-11,'16:33:27.168',69.145,0.0,48.4,0.0,3
2026-07-11,'16:33:27.269',66.902,0.0,47.8,0.0,3
2026-07-11,'16:33:27.997',197.996,0.0,46.8,0.0,3
2026-07-11,'16:33:28.019',197.957,0.0,46.1,0.0,3
2026-07-11,'16:33:28.117',225.873,0.0,46.4,0.0,3
2026-07-11,'16:33:28.217',238.027,0.0,47.1,0.0,3
2026-07-11,'16:33:28.317',170.168,0.0,47.1,0.0,3
2026-07-11,'16:33:28.418',117.233,0.0,47.2,0.0,3
2026-07-11,'16:33:28.518',90.238,0.0,47.5,0.0,3
2026-07-11,'16:33:28.618',76.795,0.0,48.0,0.0,3
2026-07-11,'16:33:28.717',91.054,0.0,48.1,0.0,3
2026-07-11,'16:33:28.817',88.857,0.0,48.2,0.0,3
2026-07-11,'16:33:30.026',77.306,0.0,48.0,0.0,3
2026-07-11,'16:33:30.047',86.936,0.0,47.8,0.0,3
2026-07-11,'16:33:30.147',217.759,0.0,48.2,0.0,3
2026-07-11,'16:33:30.246',250.558,0.0,48.2,0.0,3
2026-07-11,'16:33:30.346',265.265,0.0,48.3,0.0,3
2026-07-11,'16:33:30.446',186.054,0.0,48.0,0.0,3
2026-07-11,'16:33:30.547',124.708,0.0,47.8,0.0,3
2026-07-11,'16:33:30.647',89.175,0.0,48.0,0.0,3
2026-07-11,'16:33:30.746',78.695,0.0,48.3,0.0,3
2026-07-11,'16:33:30.846',76.198,0.0,48.3,0.0,3
